StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CTQ_1,CTQ_3,CTQ_10,Q4_6,PPB_12,PPB_13,PPB_15,PPB_16,PPB_17,UID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Answer the following questions about Artificial Intelligence (AI) on the scale below. - I am highly interested in AI technologies such as Chatgpt,Answer the following questions about Artificial Intelligence (AI) on the scale below. - I like using AI to ease my work,Answer the following questions about Artificial Intelligence (AI) on the scale below. - I am open to adopting AI in my everyday life,How frequently do you use AI?,"Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Writing a poem","Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Shooting a fun video to air on YouTube","Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Learning how to play a musical instrument","Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Doodling/Drawing random or geometric designs","Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Acting in a play",Please enter your FULL UID below (This will be utilized for participation purposes)
9/23/2023 14:05,9/23/2023 14:07,IP Address,72.83.36.247,100,116,True,9/23/2023 14:07,R_yW3VYfyaijAfY6R,,,,,39.0013,-76.888,anonymous,EN,0,,,,,,,,,
9/23/2023 14:09,9/23/2023 14:09,IP Address,72.83.36.247,100,24,True,9/23/2023 14:09,R_1OTZBLcYKvWP7ya,,,,,39.0013,-76.888,anonymous,EN,0,,,0,,,,,,
9/23/2023 14:13,9/23/2023 14:13,IP Address,72.83.36.247,100,14,True,9/23/2023 14:13,R_2YagMQlZSjAuDKE,,,,,39.0013,-76.888,anonymous,EN,,,,,,,,,,
9/23/2023 15:06,9/23/2023 15:07,IP Address,173.66.240.52,100,96,True,9/23/2023 15:07,R_1PXmuPXVgv9yW76,,,,,38.9489,-76.9352,anonymous,EN,65,60,70,50,25,40,60,85,30,117862942
9/23/2023 15:49,9/23/2023 15:50,IP Address,129.2.192.230,100,98,True,9/23/2023 15:50,R_2ci1w8UI2gER2y2,,,,,38.9965,-76.934,anonymous,EN,20,10,20,100,20,30,50,40,10,117824933
9/23/2023 15:52,9/23/2023 15:52,IP Address,96.231.239.162,100,33,True,9/23/2023 15:52,R_2cnPEsdNKm4yKXk,,,,,38.894,-77.0365,anonymous,EN,,,,,50,,,100,75,117895698
9/23/2023 15:57,9/23/2023 15:58,IP Address,68.84.70.61,100,40,True,9/23/2023 15:58,R_3MSipoQcBZd27Hj,,,,,39.6732,-75.7121,anonymous,EN,77,100,78,1,100,100,100,100,100,117716320
9/23/2023 16:04,9/23/2023 16:04,IP Address,52.124.40.65,100,23,True,9/23/2023 16:04,R_ZrA8bHZI4Vd1pPr,,,,,38.9965,-76.934,anonymous,EN,76,54,50,51,19,32,35,54,48,117780666
9/23/2023 16:05,9/23/2023 16:06,IP Address,73.128.24.14,100,46,True,9/23/2023 16:06,R_1gTPejfJXqCoPLz,,,,,38.9751,-76.8048,anonymous,EN,50,76,50,25,100,60,60,60,10,118897226
9/23/2023 16:31,9/23/2023 16:33,IP Address,129.2.192.108,100,146,True,9/23/2023 16:33,R_2rj9UF6RbZT59Ho,,,,,38.9965,-76.934,anonymous,EN,75,0,0,80,25,0,100,50,10,118728629
9/23/2023 16:40,9/23/2023 16:41,IP Address,52.124.40.73,100,97,True,9/23/2023 16:41,R_2dR47KvyDeZZvmw,,,,,38.9965,-76.934,anonymous,EN,24,0,50,100,27,70,68,71,24,117812619
9/23/2023 17:23,9/23/2023 17:24,IP Address,52.124.33.185,100,54,True,9/23/2023 17:24,R_1gtj02BKlBB1jeU,,,,,38.9965,-76.934,anonymous,EN,7,52,25,10,74,68,34,64,57,117903362
9/23/2023 18:09,9/23/2023 18:10,IP Address,24.112.143.231,100,44,True,9/23/2023 18:10,R_xovSHo88yUcw4St,,,,,39.7059,-76.3116,anonymous,EN,38,37,48,50,6,40,83,68,4,117775068
9/23/2023 18:12,9/23/2023 18:13,IP Address,64.92.84.99,100,51,True,9/23/2023 18:13,R_2b47xLAwqsGknB2,,,,,38.9965,-76.934,anonymous,EN,10,,31,0,23,11,66,42,50,117120790
9/24/2023 8:11,9/24/2023 8:12,IP Address,108.45.80.16,100,55,True,9/24/2023 8:12,R_2tzj1QUuTpIHUKL,,,,,38.9493,-76.9587,anonymous,EN,56,50,51,77,56,64,63,59,36,117442915
9/24/2023 9:08,9/24/2023 9:09,IP Address,129.2.192.158,100,43,True,9/24/2023 9:09,R_cIO3TUlhAq899ER,,,,,38.9965,-76.934,anonymous,EN,71,38,38,37,24,24,24,70,23,117146394
9/24/2023 10:53,9/24/2023 10:54,IP Address,71.246.201.114,100,61,True,9/24/2023 10:54,R_24dPhkv2MAVhWWi,,,,,38.9489,-76.9352,anonymous,EN,76,77,54,25,76,48,50,37,68,117165135
9/24/2023 11:20,9/24/2023 11:21,IP Address,50.169.94.137,100,57,True,9/24/2023 11:21,R_1Ntu9gZDu3vxuW6,,,,,38.9965,-76.934,anonymous,EN,0,41,50,51,66,56,47,91,65,117135831
9/24/2023 11:55,9/24/2023 11:56,IP Address,174.231.229.212,100,60,True,9/24/2023 11:56,R_1lmheJWWG9OyWv7,,,,,33.8231,-84.3258,anonymous,EN,72,28,63,66,16,14,11,9,18,118729657
9/24/2023 14:43,9/24/2023 14:43,IP Address,135.148.232.242,100,47,True,9/24/2023 14:43,R_uwsmhwpxu3fMpNL,,,,,39.7356,-75.5516,anonymous,EN,25,100,100,50,20,60,50,60,30,118034485
9/24/2023 20:59,9/24/2023 21:00,IP Address,100.15.138.149,100,58,True,9/24/2023 21:00,R_3yKi3XbAE7sni8x,,,,,39.0013,-76.888,anonymous,EN,81,10,68,100,66,77,77,25,69,119360774
9/25/2023 8:39,9/25/2023 8:40,IP Address,129.2.192.250,100,43,True,9/25/2023 8:40,R_38k8SMirX2csAtb,,,,,38.9965,-76.934,anonymous,EN,65,62,45,51,68,60,17,47,32,117997231
9/25/2023 9:22,9/25/2023 9:23,IP Address,129.2.192.86,100,72,True,9/25/2023 9:23,R_27f1qU1tfz1JY0T,,,,,38.9965,-76.934,anonymous,EN,25,1,25,1,25,25,25,25,60,117841077
9/25/2023 12:29,9/25/2023 12:30,IP Address,129.2.192.114,100,38,True,9/25/2023 12:30,R_2xELwkAlIaiMcaX,,,,,38.9965,-76.934,anonymous,EN,0,0,15,0,65,40,23,24,17,118356723
9/25/2023 14:43,9/25/2023 14:45,IP Address,172.56.33.183,100,106,True,9/25/2023 14:45,R_1kSqKvrFWq7HRuP,,,,,39.0095,-76.9846,anonymous,EN,25,10,,0,75,50,50,75,75,118621258
9/25/2023 15:08,9/25/2023 15:09,IP Address,129.2.89.37,100,62,True,9/25/2023 15:09,R_2zpsoXWRnJVVPKK,,,,,38.994,-76.9519,anonymous,EN,25,,50,100,75,25,25,75,25,116585729
9/25/2023 16:00,9/25/2023 16:03,IP Address,129.2.192.245,100,183,True,9/25/2023 16:03,R_3DncrGaeLOTjPZ7,,,,,38.9965,-76.934,anonymous,EN,20,5,10,100,90,15,70,65,15,117875034
9/25/2023 20:38,9/25/2023 20:39,IP Address,108.48.195.44,100,72,True,9/25/2023 20:39,R_3JKn0suMIAgcUXz,,,,,38.7592,-76.9858,anonymous,EN,50,50,49,13,84,7,85,83,15,119393819
9/25/2023 21:44,9/25/2023 21:45,IP Address,173.66.225.213,100,42,True,9/25/2023 21:45,R_1mWel33JsFXKe4p,,,,,38.9635,-76.9672,anonymous,EN,90,87,75,17,93,83,100,26,12,117248210
9/25/2023 21:46,9/25/2023 21:47,IP Address,96.241.25.180,100,50,True,9/25/2023 21:47,R_1gIlRoUjJ8eeXuK,,,,,38.9567,-77.2278,anonymous,EN,0,0,0,100,25,50,50,75,0,119385098
9/25/2023 22:24,9/25/2023 22:25,IP Address,71.163.152.3,100,62,True,9/25/2023 22:25,R_3O8r9DkIsZW3OBy,,,,,39.2756,-77.2115,anonymous,EN,0,0,0,0,25,25,25,75,25,117776782
9/26/2023 7:39,9/26/2023 7:41,IP Address,129.2.192.111,100,61,True,9/26/2023 7:41,R_2uC0KPy3Y6eMoam,,,,,38.9965,-76.934,anonymous,EN,27,27,,100,100,9,51,62,11,116925822
9/26/2023 14:51,9/26/2023 14:51,IP Address,129.2.192.137,100,44,True,9/26/2023 14:51,R_2y7bsQIrpS0P5NQ,,,,,38.9965,-76.934,anonymous,EN,75,75,75,20,90,49,36,86,85,117477993
9/26/2023 20:42,9/26/2023 20:42,IP Address,129.2.89.178,100,48,True,9/26/2023 20:42,R_bwTDZBr1PuH4Nrz,,,,,38.994,-76.9519,anonymous,EN,50,0,0,100,0,70,20,60,40,119316061
9/24/2023 20:32,9/27/2023 0:30,IP Address,129.2.192.108,100,187073,True,9/27/2023 0:30,R_1Pd9XQIy1WZNqOt,,,,,38.9965,-76.934,anonymous,EN,0,0,25,50,25,60,50,60,50,117947472
9/27/2023 22:47,9/27/2023 22:48,IP Address,52.124.40.73,100,63,True,9/27/2023 22:48,R_vdDZAtK2cxKt3rj,,,,,38.9965,-76.934,anonymous,EN,65,45,32,100,9,76,8,81,13,117732603
9/23/2023 14:16,9/23/2023 14:16,IP Address,72.83.36.247,17,20,False,9/30/2023 14:16,R_6u0CvZCiQbnmPKN,,,,,,,anonymous,EN,,,,,,,,,,
9/23/2023 18:34,9/23/2023 18:34,Spam,24.112.143.231,17,4,False,9/30/2023 18:34,R_VW3npG9t7l84XaF,,,,,,,anonymous,EN,,,,,,,,,,
9/26/2023 12:55,9/26/2023 12:55,IP Address,129.2.192.119,17,5,False,10/3/2023 12:55,R_1DOr8pu0htgry3F,,,,,,,anonymous,EN,,,,,,,,,,
